Data Point,Latitude,Longitude,Altitude,RSRP,Text,Voice,Video
386,39.61483667,-107.011975,2391.7,-112.93846183314338,No,No,No
387,39.61476833,-107.012045,2391.5,-112.68540036153655,No,No,No
388,39.61469,-107.0121733,2391.3,-112.15119394416395,No,No,No
389,39.61471667,-107.0122733,2391.7,-111.55822436694493,No,No,No
390,39.61482333,-107.01236829999999,2391.6,-110.81249812920436,No,No,No
391,39.614875,-107.01246499999999,2391.8,-110.14547516979397,No,No,No
392,39.61494333,-107.0125767,2392.3,-109.32932889157405,Maybe,Maybe,Maybe
393,39.61499167,-107.0126783,2392.2,-108.58728584463157,Maybe,Maybe,Maybe
394,39.61495833,-107.01279170000001,2391.9,-107.9203432077081,Maybe,Maybe,Maybe
395,39.61503167,-107.0130767,2388.5,-105.75411252898763,Maybe,Maybe,Maybe
396,39.61510167,-107.01310670000001,2389.2,-105.34906547455795,Maybe,Maybe,Maybe
397,39.61524167,-107.01315,2389.6,-104.67893362277015,Good,Good,Maybe
398,39.615375,-107.0131783,2389.9,-104.17512581780822,Good,Good,Maybe
399,39.61545,-107.01320829999999,2388.3,-103.79152168280012,Good,Good,Maybe
400,39.615575,-107.01319,2386.0,-103.76634100239036,Good,Good,Maybe
401,39.6157,-107.01321499999999,2383.5,-103.42565739683425,Good,Good,Maybe
402,39.615829999999995,-107.0132483,2378.3,-103.06206048187353,Good,Good,Maybe
403,39.61594167,-107.01327169999999,2372.8,-102.84489615293347,Good,Good,Maybe
404,39.61610333,-107.01332169999999,2367.0,-102.47138130660925,Good,Good,Maybe
405,39.616209999999995,-107.013355,2362.5,-102.28203329486182,Good,Good,Maybe
406,39.61634667,-107.0134183,2361.5,-101.92456352776532,Good,Good,Maybe
407,39.61638167,-107.01356000000001,2359.4,-100.65492273084465,Good,Good,Maybe
408,39.61641667,-107.01371329999999,2359.0,-99.20421639271589,Good,Good,Good
409,39.61642667,-107.013935,2357.6,-96.80742605997443,Good,Good,Good
410,39.61642167,-107.01412169999999,2355.8,-94.51481156258075,Good,Good,Good
411,39.616335,-107.0143233,2355.5,-91.26268383543518,Good,Good,Good
412,39.61631667,-107.0145617,2354.7,-87.21127987129995,Good,Good,Good
413,39.61631833,-107.0147483,2355.4,-83.63542428647489,Good,Good,Good
414,39.61634833,-107.01493329999998,2356.7,-80.11959220657113,Good,Good,Good
415,39.61626333,-107.01512,2358.3,-73.66639750039704,Good,Good,Good
416,39.61612,-107.01515330000001,2359.2,-68.53697296761538,Good,Good,Good
417,39.61597833,-107.01525,2359.3,-59.11482539122471,Good,Good,Good
418,39.61589667,-107.01537830000001,2360.1,-42.51929663098588,Good,Good,Good
419,39.61585167,-107.0155683,2360.9,-40.00592427295834,Good,Good,Good
420,39.61581167,-107.01579170000001,2360.7,-64.0226084161246,Good,Good,Good
421,39.61579333,-107.0160183,2360.7,-74.70625830835422,Good,Good,Good
422,39.61578667,-107.0161783,2361.1,-79.83437753112676,Good,Good,Good
423,39.61575333,-107.0163733,2361.6,-84.80545120035609,Good,Good,Good
424,39.61580833,-107.01653999999999,2361.9,-88.05337181675083,Good,Good,Good
425,39.61593667,-107.0166267,2361.6,-89.56657423726699,Good,Good,Good
426,39.61609833,-107.016645,2362.0,-90.15984277052212,Good,Good,Good
427,39.616240000000005,-107.01656000000001,2362.6,-89.29868622159105,Good,Good,Good
428,39.61639167,-107.0165383,2362.0,-89.90768160225622,Good,Good,Good
429,39.61652167,-107.01640330000001,2363.3,-88.96236715162496,Good,Good,Good
430,39.61666667,-107.01633670000001,2363.8,-89.61947731447873,Good,Good,Good
431,39.61682667,-107.01628500000001,2366.0,-90.94384567242804,Good,Good,Good
432,39.61694333,-107.01628829999999,2368.1,-92.40402393175032,Good,Good,Good
433,39.61707333,-107.01634170000001,2371.0,-94.37409756387518,Good,Good,Good
434,39.61721,-107.0163267,2372.6,-95.76321290278577,Good,Good,Good
435,39.61736333,-107.0162983,2375.6,-97.21542555468622,Good,Good,Good
436,39.617525,-107.01624170000001,2377.0,-98.58441126003581,Good,Good,Good
437,39.61766833,-107.01626170000002,2376.5,-100.07842671913454,Good,Good,Maybe
438,39.61782,-107.0162383,2377.0,-101.39375252200352,Good,Good,Maybe
439,39.61798833,-107.01628500000001,2375.1,-103.01381757105712,Good,Good,Maybe
440,39.618155,-107.016305,2373.9,-104.42356035241924,Good,Good,Maybe
441,39.618359999999996,-107.01633999999999,2373.6,-106.06382448184722,Maybe,Maybe,Maybe
442,39.618475,-107.0164233,2374.0,-107.08461340497873,Maybe,Maybe,Maybe
